stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
M,letter,4,7,155,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,4,8,156,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,4,9,157,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,4,10,158,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,4,11,159,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,4,12,160,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,4,13,161,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,4,14,162,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,4,15,163,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,4,16,164,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,4,17,165,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,4,18,166,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,4,19,167,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,4,20,168,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,4,21,169,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,4,22,170,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,4,23,171,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,4,24,172,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,4,25,173,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,4,26,174,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,4,27,175,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,4,28,176,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,4,29,177,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,4,30,178,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,4,31,179,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,4,32,180,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,4,33,181,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,4,34,182,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,4,35,183,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,4,36,184,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,5,0,185,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,5,1,186,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,5,2,187,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,5,3,188,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,5,4,189,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,5,5,190,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,5,6,191,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,5,7,192,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,5,8,193,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,5,9,194,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,5,10,195,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,5,11,196,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,5,12,197,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,5,13,198,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,5,14,199,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,5,15,200,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,5,16,201,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,5,17,202,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,5,18,203,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,5,19,204,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,5,20,205,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,5,21,206,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,5,22,207,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,5,23,208,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,5,24,209,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,5,25,210,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,5,26,211,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,5,27,212,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,5,28,213,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,5,29,214,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,5,30,215,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,5,31,216,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,5,32,217,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,5,33,218,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,5,34,219,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,5,35,220,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,5,36,221,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,6,0,222,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,6,1,223,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,6,2,224,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,6,3,225,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,6,4,226,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,6,5,227,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,6,6,228,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,6,7,229,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,6,8,230,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,6,9,231,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,6,10,232,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,6,11,233,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,6,12,234,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,6,13,235,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,6,14,236,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,6,15,237,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,6,16,238,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,6,17,239,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,6,18,240,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,6,19,241,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,6,20,242,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,6,21,243,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,6,22,244,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,6,23,245,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,6,24,246,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,6,25,247,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,6,26,248,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,6,27,249,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,6,28,250,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,6,29,251,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,6,30,252,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,6,31,253,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,6,32,254,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,6,33,255,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,6,34,256,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,6,35,257,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,6,36,258,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,7,0,259,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,7,1,260,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,7,2,261,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,7,3,262,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,7,4,263,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,7,5,264,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,7,6,265,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,7,7,266,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,7,8,267,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,7,9,268,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,7,10,269,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,7,11,270,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,7,12,271,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,7,13,272,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,7,14,273,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,7,15,274,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,7,16,275,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,7,17,276,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,7,18,277,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,7,19,278,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,7,20,279,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,7,21,280,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,7,22,281,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,7,23,282,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
