23.3071 	WARNING 	Trying to use a framebuffer object but GL_ARB_texture_float is not supported. Disabling
39.4266 	EXP 	stimuli: autoDraw = True
39.4274 	EXP 	window1: blendMode = 'avg'
39.5013 	EXP 	New trial (rep=0, index=35): {'stimulus': None, 'category': u'blank'}
39.5082 	EXP 	New trial (rep=0, index=36): {'stimulus': 2, 'category': u'number'}
39.5303 	EXP 	window1: blendMode = 'avg'
39.5795 	EXP 	stimuli: autoDraw = False
39.5795 	EXP 	stimuli: text = u'1'
39.5795 	EXP 	stimuli: autoDraw = False
39.5795 	EXP 	stimuli: text = 2
39.5795 	EXP 	stimuli: autoDraw = True
39.5804 	EXP 	New trial (rep=1, index=0): {'stimulus': u'T', 'category': u'letter'}
39.5981 	EXP 	window1: blendMode = 'avg'
39.6107 	EXP 	stimuli: autoDraw = False
39.6107 	EXP 	stimuli: text = u'T'
39.6107 	EXP 	stimuli: autoDraw = True
39.6123 	EXP 	New trial (rep=1, index=1): {'stimulus': 7, 'category': u'number'}
39.6185 	EXP 	window1: blendMode = 'avg'
39.6618 	EXP 	stimuli: autoDraw = False
39.6618 	EXP 	stimuli: text = 7
39.6618 	EXP 	stimuli: autoDraw = True
39.6625 	EXP 	New trial (rep=1, index=2): {'stimulus': u'M', 'category': u'letter'}
39.6679 	EXP 	window1: blendMode = 'avg'
39.6848 	EXP 	stimuli: autoDraw = False
39.6848 	EXP 	stimuli: text = u'M'
39.6848 	EXP 	stimuli: autoDraw = True
39.6853 	EXP 	window1: blendMode = 'avg'
39.7157 	EXP 	New trial (rep=1, index=3): {'stimulus': u'N', 'category': u'letter'}
39.7340 	EXP 	window1: blendMode = 'avg'
39.7745 	EXP 	stimuli: autoDraw = False
39.7745 	EXP 	stimuli: text = u'N'
39.7745 	EXP 	stimuli: autoDraw = True
39.7754 	EXP 	New trial (rep=1, index=4): {'stimulus': u'Y', 'category': u'letter'}
39.7823 	EXP 	window1: blendMode = 'avg'
39.8083 	EXP 	stimuli: autoDraw = False
39.8083 	EXP 	stimuli: text = u'Y'
39.8083 	EXP 	stimuli: autoDraw = True
39.8143 	EXP 	New trial (rep=1, index=5): {'stimulus': u'probe', 'category': u'probe'}
39.8330 	EXP 	window1: blendMode = 'avg'
39.8637 	EXP 	stimuli: autoDraw = False
39.8637 	EXP 	stimuli: text = u'probe'
39.8637 	EXP 	stimuli: autoDraw = True
39.8645 	EXP 	New trial (rep=1, index=6): {'stimulus': 8, 'category': u'number'}
39.8702 	EXP 	window1: blendMode = 'avg'
39.8892 	EXP 	stimuli: autoDraw = False
39.8892 	EXP 	stimuli: text = 8
39.8892 	EXP 	stimuli: autoDraw = True
39.8922 	EXP 	window1: blendMode = 'avg'
39.9123 	EXP 	New trial (rep=1, index=7): {'stimulus': u'Q', 'category': u'letter'}
39.9279 	EXP 	window1: blendMode = 'avg'
39.9407 	EXP 	stimuli: autoDraw = False
39.9407 	EXP 	stimuli: text = u'Q'
39.9407 	EXP 	stimuli: autoDraw = True
39.9412 	EXP 	window1: blendMode = 'avg'
40.0131 	EXP 	New trial (rep=1, index=8): {'stimulus': 2, 'category': u'number'}
40.0190 	EXP 	New trial (rep=1, index=9): {'stimulus': u'V', 'category': u'letter'}
40.0258 	EXP 	window1: blendMode = 'avg'
40.0577 	EXP 	stimuli: autoDraw = False
40.0577 	EXP 	stimuli: text = 2
40.0577 	EXP 	stimuli: autoDraw = False
40.0577 	EXP 	stimuli: text = u'V'
40.0577 	EXP 	stimuli: autoDraw = True
40.0587 	EXP 	New trial (rep=1, index=10): {'stimulus': 6, 'category': u'number'}
40.0650 	EXP 	window1: blendMode = 'avg'
40.0924 	EXP 	stimuli: autoDraw = False
40.0924 	EXP 	stimuli: text = 6
40.0924 	EXP 	stimuli: autoDraw = True
40.0948 	EXP 	window1: blendMode = 'avg'
40.1183 	EXP 	New trial (rep=1, index=11): {'stimulus': u'C', 'category': u'letter'}
40.1274 	EXP 	window1: blendMode = 'avg'
40.1431 	EXP 	stimuli: autoDraw = False
40.1431 	EXP 	stimuli: text = u'C'
40.1431 	EXP 	stimuli: autoDraw = True
40.1438 	EXP 	window1: blendMode = 'avg'
40.1683 	EXP 	New trial (rep=1, index=12): {'stimulus': u'L', 'category': u'letter'}
40.1830 	EXP 	window1: blendMode = 'avg'
40.2100 	EXP 	stimuli: autoDraw = False
40.2100 	EXP 	stimuli: text = u'L'
40.2100 	EXP 	stimuli: autoDraw = True
40.2153 	EXP 	New trial (rep=1, index=13): {'stimulus': u'U', 'category': u'letter'}
40.2217 	EXP 	window1: blendMode = 'avg'
40.2610 	EXP 	stimuli: autoDraw = False
40.2610 	EXP 	stimuli: text = u'U'
40.2610 	EXP 	stimuli: autoDraw = True
40.2619 	EXP 	New trial (rep=1, index=14): {'stimulus': 4, 'category': u'number'}
40.2672 	EXP 	window1: blendMode = 'avg'
40.2968 	EXP 	stimuli: autoDraw = False
40.2968 	EXP 	stimuli: text = 4
40.2968 	EXP 	stimuli: autoDraw = True
40.2973 	EXP 	window1: blendMode = 'avg'
40.3094 	EXP 	New trial (rep=1, index=15): {'stimulus': u'I', 'category': u'letter'}
40.3159 	EXP 	window1: blendMode = 'avg'
40.3760 	EXP 	stimuli: autoDraw = False
40.3760 	EXP 	stimuli: text = u'I'
40.3760 	EXP 	stimuli: autoDraw = True
40.3768 	EXP 	New trial (rep=1, index=16): {'stimulus': 1, 'category': u'number'}
40.3831 	EXP 	window1: blendMode = 'avg'
40.4077 	EXP 	stimuli: autoDraw = False
40.4077 	EXP 	stimuli: text = 1
40.4077 	EXP 	stimuli: autoDraw = True
40.4086 	EXP 	New trial (rep=1, index=17): {'stimulus': u'D', 'category': u'letter'}
40.4157 	EXP 	window1: blendMode = 'avg'
40.4250 	EXP 	stimuli: autoDraw = False
40.4250 	EXP 	stimuli: text = u'D'
40.4250 	EXP 	stimuli: autoDraw = True
40.4256 	EXP 	window1: blendMode = 'avg'
40.4969 	EXP 	New trial (rep=1, index=18): {'stimulus': u'X', 'category': u'letter'}
40.5025 	EXP 	New trial (rep=1, index=19): {'stimulus': u'P', 'category': u'letter'}
40.5104 	EXP 	window1: blendMode = 'avg'
40.5479 	EXP 	stimuli: autoDraw = False
40.5479 	EXP 	stimuli: text = u'X'
40.5479 	EXP 	stimuli: autoDraw = False
40.5479 	EXP 	stimuli: text = u'P'
40.5479 	EXP 	stimuli: autoDraw = True
40.5486 	EXP 	window1: blendMode = 'avg'
40.5766 	EXP 	New trial (rep=1, index=20): {'stimulus': 5, 'category': u'number'}
40.5839 	EXP 	window1: blendMode = 'avg'
40.5998 	EXP 	stimuli: autoDraw = False
40.5998 	EXP 	stimuli: text = 5
40.5998 	EXP 	stimuli: autoDraw = True
40.6005 	EXP 	New trial (rep=1, index=21): {'stimulus': u'Z', 'category': u'letter'}
40.6149 	EXP 	window1: blendMode = 'avg'
40.6249 	EXP 	stimuli: autoDraw = False
40.6249 	EXP 	stimuli: text = u'Z'
40.6249 	EXP 	stimuli: autoDraw = True
40.6255 	EXP 	window1: blendMode = 'avg'
40.6961 	EXP 	New trial (rep=1, index=22): {'stimulus': u'B', 'category': u'letter'}
40.7011 	EXP 	New trial (rep=1, index=23): {'stimulus': u'E', 'category': u'letter'}
40.7079 	EXP 	window1: blendMode = 'avg'
40.7442 	EXP 	stimuli: autoDraw = False
40.7442 	EXP 	stimuli: text = u'B'
40.7442 	EXP 	stimuli: autoDraw = False
40.7442 	EXP 	stimuli: text = u'E'
40.7442 	EXP 	stimuli: autoDraw = True
40.7449 	EXP 	window1: blendMode = 'avg'
40.7764 	EXP 	New trial (rep=1, index=24): {'stimulus': 3, 'category': u'number'}
40.7828 	EXP 	window1: blendMode = 'avg'
40.8159 	EXP 	stimuli: autoDraw = False
40.8159 	EXP 	stimuli: text = 3
40.8159 	EXP 	stimuli: autoDraw = True
40.8252 	EXP 	New trial (rep=1, index=25): {'stimulus': u'O', 'category': u'letter'}
40.8319 	EXP 	window1: blendMode = 'avg'
40.8621 	EXP 	stimuli: autoDraw = False
40.8621 	EXP 	stimuli: text = u'O'
40.8621 	EXP 	stimuli: autoDraw = True
40.8632 	EXP 	New trial (rep=1, index=26): {'stimulus': u'S', 'category': u'letter'}
40.8693 	EXP 	window1: blendMode = 'avg'
40.8883 	EXP 	stimuli: autoDraw = False
40.8883 	EXP 	stimuli: text = u'S'
40.8883 	EXP 	stimuli: autoDraw = True
40.8952 	EXP 	window1: blendMode = 'avg'
40.9101 	EXP 	New trial (rep=1, index=27): {'stimulus': u'F', 'category': u'letter'}
40.9182 	EXP 	window1: blendMode = 'avg'
40.9373 	EXP 	stimuli: autoDraw = False
40.9373 	EXP 	stimuli: text = u'F'
40.9373 	EXP 	stimuli: autoDraw = True
40.9378 	EXP 	window1: blendMode = 'avg'
40.9750 	EXP 	New trial (rep=1, index=28): {'stimulus': u'R', 'category': u'letter'}
40.9818 	EXP 	window1: blendMode = 'avg'
41.0077 	EXP 	stimuli: autoDraw = False
41.0077 	EXP 	stimuli: text = u'R'
41.0077 	EXP 	stimuli: autoDraw = True
41.0127 	EXP 	New trial (rep=1, index=29): {'stimulus': u'J', 'category': u'letter'}
41.0186 	EXP 	window1: blendMode = 'avg'
41.0281 	EXP 	stimuli: autoDraw = False
41.0281 	EXP 	stimuli: text = u'J'
41.0281 	EXP 	stimuli: autoDraw = True
41.0287 	EXP 	window1: blendMode = 'avg'
41.0963 	EXP 	New trial (rep=1, index=30): {'stimulus': 9, 'category': u'number'}
41.1018 	EXP 	New trial (rep=1, index=31): {'stimulus': u'A', 'category': u'letter'}
41.1138 	EXP 	window1: blendMode = 'avg'
41.1460 	EXP 	stimuli: autoDraw = False
41.1460 	EXP 	stimuli: text = 9
41.1460 	EXP 	stimuli: autoDraw = False
41.1460 	EXP 	stimuli: text = u'A'
41.1460 	EXP 	stimuli: autoDraw = True
41.1466 	EXP 	window1: blendMode = 'avg'
41.1674 	EXP 	New trial (rep=1, index=32): {'stimulus': u'K', 'category': u'letter'}
41.1817 	EXP 	window1: blendMode = 'avg'
41.1970 	EXP 	stimuli: autoDraw = False
41.1970 	EXP 	stimuli: text = u'K'
41.1970 	EXP 	stimuli: autoDraw = True
41.2040 	EXP 	New trial (rep=1, index=33): {'stimulus': u'H', 'category': u'letter'}
41.2120 	EXP 	window1: blendMode = 'avg'
41.2281 	EXP 	stimuli: autoDraw = False
41.2281 	EXP 	stimuli: text = u'H'
41.2281 	EXP 	stimuli: autoDraw = True
41.2287 	EXP 	window1: blendMode = 'avg'
41.2523 	EXP 	New trial (rep=1, index=34): {'stimulus': u'G', 'category': u'letter'}
41.2651 	EXP 	window1: blendMode = 'avg'
41.2906 	EXP 	stimuli: autoDraw = False
41.2906 	EXP 	stimuli: text = u'G'
41.2906 	EXP 	stimuli: autoDraw = True
41.2923 	EXP 	window1: blendMode = 'avg'
41.3099 	EXP 	New trial (rep=1, index=35): {'stimulus': u'W', 'category': u'letter'}
41.3334 	EXP 	window1: blendMode = 'avg'
41.3434 	EXP 	stimuli: autoDraw = False
41.3434 	EXP 	stimuli: text = u'W'
41.3434 	EXP 	stimuli: autoDraw = True
41.3439 	EXP 	window1: blendMode = 'avg'
41.4125 	EXP 	New trial (rep=1, index=36): {'stimulus': None, 'category': u'blank'}
41.4180 	EXP 	New trial (rep=2, index=0): {'stimulus': u'K', 'category': u'letter'}
41.4320 	EXP 	window1: blendMode = 'avg'
41.4578 	EXP 	stimuli: autoDraw = False
41.4578 	EXP 	stimuli: text = u'W'
41.4578 	EXP 	stimuli: autoDraw = False
41.4578 	EXP 	stimuli: text = u'K'
41.4578 	EXP 	stimuli: autoDraw = True
41.4608 	EXP 	New trial (rep=2, index=1): {'stimulus': u'Z', 'category': u'letter'}
41.4676 	EXP 	window1: blendMode = 'avg'
41.4960 	EXP 	stimuli: autoDraw = False
41.4960 	EXP 	stimuli: text = u'Z'
41.4960 	EXP 	stimuli: autoDraw = True
41.4975 	EXP 	window1: blendMode = 'avg'
41.5153 	EXP 	New trial (rep=2, index=2): {'stimulus': 9, 'category': u'number'}
41.5215 	EXP 	window1: blendMode = 'avg'
41.5827 	EXP 	stimuli: autoDraw = False
41.5827 	EXP 	stimuli: text = 9
41.5827 	EXP 	stimuli: autoDraw = True
41.5834 	EXP 	New trial (rep=2, index=3): {'stimulus': u'T', 'category': u'letter'}
41.5985 	EXP 	window1: blendMode = 'avg'
41.6134 	EXP 	stimuli: autoDraw = False
41.6134 	EXP 	stimuli: text = u'T'
41.6134 	EXP 	stimuli: autoDraw = True
41.6142 	EXP 	New trial (rep=2, index=4): {'stimulus': u'U', 'category': u'letter'}
41.6199 	EXP 	window1: blendMode = 'avg'
41.6606 	EXP 	stimuli: autoDraw = False
41.6606 	EXP 	stimuli: text = u'U'
41.6606 	EXP 	stimuli: autoDraw = True
41.6620 	EXP 	New trial (rep=2, index=5): {'stimulus': u'P', 'category': u'letter'}
41.6674 	EXP 	window1: blendMode = 'avg'
41.6779 	EXP 	stimuli: autoDraw = False
41.6779 	EXP 	stimuli: text = u'P'
41.6779 	EXP 	stimuli: autoDraw = True
41.6787 	EXP 	window1: blendMode = 'avg'
41.7142 	EXP 	New trial (rep=2, index=6): {'stimulus': 1, 'category': u'number'}
41.7194 	EXP 	window1: blendMode = 'avg'
41.7378 	EXP 	stimuli: autoDraw = False
41.7378 	EXP 	stimuli: text = 1
41.7378 	EXP 	stimuli: autoDraw = True
41.7383 	EXP 	window1: blendMode = 'avg'
41.7777 	EXP 	New trial (rep=2, index=7): {'stimulus': u'L', 'category': u'letter'}
41.7848 	EXP 	window1: blendMode = 'avg'
41.8137 	EXP 	stimuli: autoDraw = False
41.8137 	EXP 	stimuli: text = u'L'
41.8137 	EXP 	stimuli: autoDraw = True
41.8147 	EXP 	New trial (rep=2, index=8): {'stimulus': u'Y', 'category': u'letter'}
41.8247 	EXP 	window1: blendMode = 'avg'
